,X,Y,Z
773,0.01,0.18,-0.06
774,0.03,0.12,-0.01
775,0.06,0.12,0.01
776,0.04,0.18,-0.06
777,-0.04,0.15,-0.06
778,-0.09,0.18,-0.13
779,-0.09,0.18,-0.13
780,0.04,0.12,-0.06
781,0.04,0.18,-0.04
782,0.09,0.18,-0.04
783,0.04,0.12,-0.04
784,0.01,0.09,-0.06
785,-0.04,0.12,-0.06
786,-0.04,0.15,-0.08
787,-0.06,0.12,-0.13
788,-0.04,0.15,-0.11
789,0.01,0.18,-0.06
790,0.06,0.15,0.03
791,0.06,0.18,0.03
792,0.06,0.18,-0.04
793,-0.01,0.18,-0.08
794,-0.07,0.18,-0.1
795,-0.04,0.18,-0.13
796,-0.07,0.18,0.02
797,0.06,0.15,0.06
798,0.08,0.12,0.13
799,0.08,0.12,0.13
800,0.07,0.12,0.17
801,0.07,0.12,0.17
802,0.0,0.1,0.08
803,-0.05,0.1,0.04
804,-0.05,0.1,0.09
805,0.02,0.18,0.13
806,0.1,0.12,0.15
807,0.07,0.15,0.17
808,0.1,0.12,0.15
809,0.08,0.12,0.15
810,-0.0,0.18,0.13
811,-0.0,0.18,0.13
812,-0.0,0.18,0.13
813,0.03,0.09,0.08
814,0.08,0.09,0.13
815,0.07,0.15,0.2
816,0.1,0.12,0.17
817,0.08,0.15,0.1
818,-0.0,0.07,0.11
819,-0.02,0.12,0.06
820,-0.03,0.15,0.11
821,0.0,0.18,0.08
822,0.05,0.12,0.08
823,0.07,0.1,0.17
824,0.1,0.12,0.15
825,0.1,0.15,0.15
826,0.03,0.12,0.03
827,-0.04,0.09,-0.11
828,-0.03,0.12,-0.15
829,-0.01,0.15,-0.08
830,0.04,0.21,-0.11
831,0.04,0.15,-0.06
832,0.12,0.15,-0.04
833,0.07,0.09,-0.06
834,0.01,0.09,-0.06
835,-0.01,0.15,-0.08
836,-0.06,0.15,-0.15
837,-0.03,0.15,-0.15
838,-0.01,0.18,-0.13
839,0.06,0.15,-0.04
840,0.09,0.18,-0.02
841,0.06,0.15,-0.04
842,0.04,0.12,-0.11
843,-0.01,0.15,-0.13
844,-0.04,0.15,-0.13
845,-0.04,0.15,-0.11
846,0.02,0.15,-0.13
847,0.04,0.12,-0.11
848,0.06,0.12,-0.02
849,0.09,0.12,-0.04
850,0.09,0.15,-0.07
851,0.02,0.15,-0.11
852,-0.06,0.15,-0.15
853,-0.06,0.18,-0.13
854,-0.01,0.18,-0.11
855,0.07,0.21,-0.09
856,0.06,0.18,0.01
857,0.06,0.09,0.01
858,0.04,0.09,-0.01
859,-0.02,0.09,-0.01
860,-0.04,0.12,-0.03
861,-0.09,0.09,-0.1
862,-0.06,0.07,-0.1
863,-0.02,0.09,-0.04
864,0.03,0.12,0.03
865,0.08,0.09,0.05
866,0.06,0.09,-0.04
867,0.04,0.07,-0.06
868,-0.07,0.09,-0.06
869,-0.04,0.12,-0.08
870,-0.04,0.09,-0.08
871,-0.01,0.09,-0.06
872,0.01,0.04,-0.01
873,0.03,0.07,0.03
874,0.09,0.09,0.01
875,0.01,0.12,-0.04
876,-0.07,0.12,-0.1
877,-0.09,0.09,-0.08
878,-0.04,0.12,-0.06
879,-0.07,0.15,-0.06
880,0.01,0.15,-0.01
881,0.06,0.12,0.01
882,0.0,0.09,0.06
883,0.06,0.07,0.03
884,-0.02,0.07,-0.01
885,-0.07,0.09,-0.06
886,-0.07,0.12,-0.06
887,-0.07,0.07,-0.06
888,0.04,0.07,-0.04
889,0.06,0.09,0.03
890,0.03,0.07,0.11
891,0.03,0.04,0.03
892,-0.02,0.04,0.04
893,-0.02,0.04,0.04
894,-0.05,0.07,0.06
895,-0.02,0.07,-0.01
896,0.03,0.04,0.03
897,0.05,0.04,0.13
898,0.08,0.07,0.1
899,0.08,0.09,0.1
900,0.0,0.09,0.04
901,-0.02,0.04,-0.01
902,-0.07,0.01,0.02
903,-0.05,0.07,0.04
904,0.03,0.12,0.08
905,0.05,0.07,0.1
906,0.05,0.04,0.13
907,0.05,0.07,0.1
908,0.06,0.07,0.06
909,-0.05,0.09,0.01
910,-0.02,0.07,-0.01
911,-0.05,0.04,0.01
912,0.03,0.04,0.06
913,0.11,0.07,0.1
914,0.1,0.07,0.15
915,0.05,0.07,0.1
916,0.03,0.01,0.03
917,-0.02,0.04,0.01
918,-0.05,0.04,0.04
919,-0.02,0.07,0.01
920,0.04,0.07,-0.06
921,0.04,0.07,-0.04
922,0.06,0.04,-0.02
923,0.06,0.07,-0.04
924,0.01,0.09,-0.09
925,-0.07,0.04,-0.08
926,-0.06,0.04,-0.13
927,-0.04,0.04,-0.06
928,0.01,0.07,-0.06
929,0.03,0.09,0.01
930,0.01,0.04,0.01
931,0.04,0.07,-0.06
932,0.04,0.07,-0.06
933,-0.07,0.07,-0.08
934,-0.06,0.07,-0.1
935,-0.06,0.07,-0.13
936,0.01,0.07,-0.06
