Bx,By,Bz
1.184998113326618530e+01,-3.185313662118729461e+00,-2.457538700367253170e+01
1.183883753282462514e+01,-3.199324545451814217e+00,-2.456921155232772591e+01
1.182780063074956800e+01,-3.213397084783421231e+00,-2.456306658226694495e+01
1.181687016614549002e+01,-3.227531217216033088e+00,-2.455695291748251918e+01
1.180604587507367320e+01,-3.241726878053559968e+00,-2.455087137992816082e+01
1.179532748851554658e+01,-3.255983999485267066e+00,-2.454482278915381244e+01
1.178471473716983553e+01,-3.270302513632969976e+00,-2.453880796304487433e+01
1.177420734599924224e+01,-3.284682349053592354e+00,-2.453282771690492226e+01
1.176380503903538077e+01,-3.299123433819691531e+00,-2.452688286422801411e+01
1.175350753734524822e+01,-3.313625694214423767e+00,-2.452097421634524821e+01
1.174331455698252213e+01,-3.328189053361068073e+00,-2.451510258200456249e+01
1.173322581381449048e+01,-3.342813434398922201e+00,-2.450926876823991662e+01
1.172324101803622831e+01,-3.357498756839987664e+00,-2.450347357930632342e+01
1.171335987900487652e+01,-3.372244939777460981e+00,-2.449771781758328970e+01
1.170358210319420422e+01,-3.387051900526403703e+00,-2.449200228316661665e+01
1.169390739213501185e+01,-3.401919553199385771e+00,-2.448632777339142663e+01
1.168433544727009199e+01,-3.416847812009286223e+00,-2.448069508383535720e+01
1.167486596443796998e+01,-3.431836587481519540e+00,-2.447510500710166070e+01
1.166549863873468240e+01,-3.446885789789660759e+00,-2.446955833385745649e+01
1.165623316245721952e+01,-3.461995327341820250e+00,-2.446405585236918867e+01
1.164706922303381731e+01,-3.477165105303037240e+00,-2.445859834796747023e+01
1.163800650790466484e+01,-3.492395029024162767e+00,-2.445318660418770662e+01
1.162904469897759263e+01,-3.507685000111255835e+00,-2.444782140139722060e+01
1.162018347751530989e+01,-3.523034919886491423e+00,-2.444250351797194654e+01
1.161142252206849079e+01,-3.538444687921459053e+00,-2.443723372977390440e+01
1.160276150639659321e+01,-3.553914200506490317e+00,-2.443201280955653942e+01
1.159420010437298743e+01,-3.569443354204171914e+00,-2.442684152824629962e+01
1.158573798441437219e+01,-3.585032041777048928e+00,-2.442172065341009102e+01
1.157737481439167659e+01,-3.600680155773082980e+00,-2.441665095057335932e+01
1.156911025955347228e+01,-3.616387587005646775e+00,-2.441163318263865989e+01
1.156094398043840954e+01,-3.632154222971004209e+00,-2.440666810923003283e+01
1.155287563780231430e+01,-3.647979951524948916e+00,-2.440175648811836240e+01
1.154490488702349360e+01,-3.663864656670867692e+00,-2.439689907352569165e+01
1.153703138303552933e+01,-3.679808222267728635e+00,-2.439209661758822989e+01
1.152925477824201117e+01,-3.695810530458210952e+00,-2.438734986971421392e+01
1.152157472042074993e+01,-3.711871460034218195e+00,-2.438265957586592947e+01
1.151399085767154240e+01,-3.727990890235289623e+00,-2.437802648013282791e+01
1.150650283279956732e+01,-3.744168696398291196e+00,-2.437345132286830562e+01
1.149911028826792325e+01,-3.760404753787048637e+00,-2.436893484230127527e+01
1.149181286410429514e+01,-3.776698935968398896e+00,-2.436447777383187940e+01
1.148461019579823272e+01,-3.793051113126945317e+00,-2.436008084924986150e+01
1.147750191926716568e+01,-3.809461155983903335e+00,-2.435574479845833551e+01
1.147048766521997187e+01,-3.825928931310341508e+00,-2.435147034743974004e+01
1.146356706412768389e+01,-3.842454305876517040e+00,-2.434725822001892581e+01
1.145673974412234486e+01,-3.859037144776868988e+00,-2.434310913709536450e+01
1.145000532888864520e+01,-3.875677309694765427e+00,-2.433902381579677865e+01
1.144336344264598893e+01,-3.892374662939541263e+00,-2.433500297135653412e+01
1.143681370449489521e+01,-3.909129062825123846e+00,-2.433104731490538697e+01
1.143035573340306144e+01,-3.925940367737676961e+00,-2.432715755538910685e+01
1.142398914609829319e+01,-3.942808434410049134e+00,-2.432333439873609748e+01
1.141771355495443352e+01,-3.959733116136999520e+00,-2.431957854694464771e+01
1.141152857298799539e+01,-3.976714266929548547e+00,-2.431589070011721532e+01
1.140543380818881225e+01,-3.993751736760652538e+00,-2.431227155407430374e+01
1.139942886852041148e+01,-4.010845375749331865e+00,-2.430872180242994673e+01
1.139351335980708591e+01,-4.027995032385685903e+00,-2.430524213569303527e+01
1.138768688361532355e+01,-4.045200551697185176e+00,-2.430183324028724101e+01
1.138194904226266857e+01,-4.062461779517921201e+00,-2.429849580074520432e+01
1.137629943313584491e+01,-4.079778557603804146e+00,-2.429523049714127936e+01
1.137073765370220180e+01,-4.097150727931176739e+00,-2.429203800732739893e+01
1.136526329939243496e+01,-4.114578130872843076e+00,-2.428891900596746467e+01
1.135987596147846368e+01,-4.132060603316593195e+00,-2.428587416348837280e+01
1.135457523209194086e+01,-4.149597983047728533e+00,-2.428290414843694833e+01
1.134936069853213603e+01,-4.167190103735880946e+00,-2.428000962472821556e+01
1.134423194828678305e+01,-4.184836799346123293e+00,-2.427719125404484046e+01
1.133918856691109767e+01,-4.202537902267263981e+00,-2.427444969480296066e+01
1.133423013590269868e+01,-4.220293241383036964e+00,-2.427178560103343230e+01
1.132935623772810807e+01,-4.238102646565647724e+00,-2.426919962490418925e+01
1.132456645012273988e+01,-4.255965943536417662e+00,-2.426669241378111863e+01
1.131986035111885514e+01,-4.273882958387728692e+00,-2.426426461279351798e+01
1.131523751692155422e+01,-4.291853515663730967e+00,-2.426191686373053358e+01
1.131069751978221660e+01,-4.309877436385473715e+00,-2.425964980385112568e+01
1.130623993303020747e+01,-4.327954542653920988e+00,-2.425746406857481929e+01
1.130186432536754459e+01,-4.346084652386592140e+00,-2.425536028835187352e+01
1.129757026590184665e+01,-4.364267583948124418e+00,-2.425333909139783017e+01
1.129335732202012821e+01,-4.382503154184641758e+00,-2.425140110251873082e+01
1.128922505726160530e+01,-4.400791176403631155e+00,-2.424954694184951620e+01
1.128517303635261371e+01,-4.419131465083786736e+00,-2.424777722771525390e+01
1.128120081949837328e+01,-4.437523830489896071e+00,-2.424609257330785184e+01
1.127730796741850128e+01,-4.455968083410377645e+00,-2.424449358959211054e+01
1.127349403921993876e+01,-4.474464033145753028e+00,-2.424298088405910079e+01
1.126975859026971705e+01,-4.493011485444165842e+00,-2.424155505939121369e+01
1.126610117723075177e+01,-4.511610247316468758e+00,-2.424021671649693488e+01
1.126252135235332297e+01,-4.530260121532061923e+00,-2.423896645099098279e+01
1.125901866851105559e+01,-4.548960911460612877e+00,-2.423780485627446168e+01
1.125559267707342670e+01,-4.567712419016029202e+00,-2.423673252221509955e+01
1.125224292577984464e+01,-4.586514442548690340e+00,-2.423575003373840886e+01
1.124896896305810579e+01,-4.605366781055010073e+00,-2.423485797356682525e+01
1.124577033589768149e+01,-4.624269232095534754e+00,-2.423405692085633945e+01
1.124264658772454339e+01,-4.643221589661447268e+00,-2.423334744974208377e+01
1.123959726343365517e+01,-4.662223649152188010e+00,-2.423273013265549025e+01
1.123662190368555791e+01,-4.681275201686364795e+00,-2.423220553648473441e+01
1.123372004993758644e+01,-4.700376039105758075e+00,-2.423177422593772334e+01
1.123089124231852232e+01,-4.719525951850222611e+00,-2.423143676210401409e+01
1.122813501750618670e+01,-4.738724726782124641e+00,-2.423119370092482683e+01
1.122545091375469184e+01,-4.757972152263371335e+00,-2.423104559668954039e+01
1.122283846519737160e+01,-4.777268012353691695e+00,-2.423099299799275386e+01
1.122029720687244492e+01,-4.796612091912864528e+00,-2.423103645127750383e+01
1.121782667259984656e+01,-4.816004174433453855e+00,-2.423117649932130035e+01
1.121542639286258591e+01,-4.835444039824719376e+00,-2.423141367962983850e+01
1.121309589982627308e+01,-4.854931469585610948e+00,-2.423174852811470714e+01
1.121083472165141082e+01,-4.874466240894051339e+00,-2.423218157484510726e+01
1.120864238751050479e+01,-4.894048131804890289e+00,-2.423271334777276209e+01
1.120651842546859278e+01,-4.913676919041930269e+00,-2.423334437114176509e+01
1.120446236036902121e+01,-4.933352375741637985e+00,-2.423407516380473936e+01
1.120247371884302900e+01,-4.953074276720740521e+00,-2.423490624308413999e+01
1.120055202363377056e+01,-4.972842392458268534e+00,-2.423583812031582951e+01
1.119869679860304856e+01,-4.992656494387054167e+00,-2.423687130475818563e+01
1.119690756661607800e+01,-5.012516352645618234e+00,-2.423800630192468475e+01
1.119518384743266814e+01,-5.032421733783126072e+00,-2.423924361182147535e+01
1.119352516270476272e+01,-5.052372406118554871e+00,-2.424058373299449087e+01
1.119193103031462755e+01,-5.072368133618758712e+00,-2.424202715786259077e+01
1.119040096936887174e+01,-5.092408681281354710e+00,-2.424357437681284821e+01
1.118893449808820861e+01,-5.112493812847324293e+00,-2.424522587645465421e+01
1.118753113170562941e+01,-5.132623288468589173e+00,-2.424698213777869427e+01
1.118619038744860639e+01,-5.152796870155987641e+00,-2.424884364039090201e+01
1.118491177889502097e+01,-5.173014315556672571e+00,-2.425081085763368804e+01
1.118369482095129541e+01,-5.193275383424699854e+00,-2.425288426086865101e+01
1.118253902774897668e+01,-5.213579831296121903e+00,-2.425506431765214188e+01
1.118144391054994458e+01,-5.233927413119840999e+00,-2.425735148981404521e+01
1.118040898271174477e+01,-5.254317884791902316e+00,-2.425974623788084727e+01
1.117943375406326822e+01,-5.274750997834903643e+00,-2.426224901598274641e+01
1.117851773586513886e+01,-5.295226504954741564e+00,-2.426486027632578413e+01
1.117766043871344550e+01,-5.315744157678654602e+00,-2.426758046728770779e+01
1.117686137045367722e+01,-5.336303703950765254e+00,-2.427041003141621900e+01
1.117612004112628199e+01,-5.356904893750175312e+00,-2.427334941004274071e+01
1.117543595736504258e+01,-5.377547472675522577e+00,-2.427639903797355458e+01
1.117480862733713742e+01,-5.398231187584172197e+00,-2.427955934815269856e+01
1.117423755865521962e+01,-5.418955784194856129e+00,-2.428283076967754184e+01
1.117372225630086113e+01,-5.439721004649014091e+00,-2.428621372571604553e+01
1.117326222754810949e+01,-5.460526593209748647e+00,-2.428970863831243676e+01
1.117285697638699205e+01,-5.481372289754297356e+00,-2.429331592286053976e+01
1.117250600844118225e+01,-5.502257835494278382e+00,-2.429703599295947924e+01
1.117220882888908484e+01,-5.523182970543358827e+00,-2.430086925834791245e+01
1.117196494039801991e+01,-5.544147431445721530e+00,-2.430481612273975855e+01
1.117177384802317874e+01,-5.565150956953258010e+00,-2.430887698882328607e+01
1.117163505365927278e+01,-5.586193281429546964e+00,-2.431305225251525215e+01
1.117154806093287078e+01,-5.607274140646824279e+00,-2.431734230801008678e+01
1.117151237313401602e+01,-5.628393269320721259e+00,-2.432174754563273922e+01
1.117152749116178079e+01,-5.649550398606944412e+00,-2.432626834959211948e+01
1.117159291839638335e+01,-5.670745261953472394e+00,-2.433090510317474653e+01
1.117170815518153937e+01,-5.691977588419321776e+00,-2.433565818277832804e+01
1.117187270368919805e+01,-5.713247108546194220e+00,-2.434052796315579670e+01
1.117208606586265773e+01,-5.734553551861480081e+00,-2.434551481518622396e+01
1.117234774137440034e+01,-5.755896644343796886e+00,-2.435061910354533765e+01
1.117265723246909204e+01,-5.777276114348095071e+00,-2.435584119209516274e+01
1.117301403847911523e+01,-5.798691685842064736e+00,-2.436118143769531130e+01
1.117341766065967690e+01,-5.820143084349370000e+00,-2.436664019564345551e+01
1.117386760014391101e+01,-5.841630034421453566e+00,-2.437221781736317183e+01
1.117436335591438201e+01,-5.863152257074278673e+00,-2.437791464799158803e+01
1.117490442961428343e+01,-5.884709475782289978e+00,-2.438373103196556713e+01
1.117549032009917731e+01,-5.906301409636458999e+00,-2.438966730661010374e+01
1.117612052823966096e+01,-5.927927779356207516e+00,-2.439572380777557470e+01
1.117679455488971740e+01,-5.949588304731937782e+00,-2.440190086744289033e+01
1.117751189887294139e+01,-5.971282702033247070e+00,-2.440819881122718016e+01
1.117827206175929255e+01,-5.993010690069736413e+00,-2.441461796416190921e+01
1.117907454245587395e+01,-6.014771983273665690e+00,-2.442115864406308035e+01
1.117991884197474839e+01,-6.036566297777243406e+00,-2.442782116736431064e+01
1.118080446141567208e+01,-6.058393348826674796e+00,-2.443460584663832336e+01
1.118173089996745873e+01,-6.080252848163950397e+00,-2.444151298801698502e+01
1.118269765964867624e+01,-6.102144510150679046e+00,-2.444854289717357076e+01
1.118370423993957097e+01,-6.124068044779038544e+00,-2.445569587246212961e+01
1.118475014251283639e+01,-6.146023163811925372e+00,-2.446297221095115404e+01
1.118583486923165893e+01,-6.168009578170034146e+00,-2.447037220586121009e+01
1.118695792016753998e+01,-6.190026995287932543e+00,-2.447789614390079649e+01
1.118811879830205314e+01,-6.212075125298619938e+00,-2.448554431144793142e+01
1.118931700420284692e+01,-6.234153673975734833e+00,-2.449331698746321706e+01
1.119055204071515064e+01,-6.256262348933391060e+00,-2.450121444972322138e+01
1.119182341097568845e+01,-6.278400856986985801e+00,-2.450923697217352526e+01
1.119313061644814056e+01,-6.300568901485661399e+00,-2.451738482218029347e+01
1.119447316158374761e+01,-6.322766188553698541e+00,-2.452565826691157369e+01
